arch,hidden_size,regularizer,RS_mean,RS_std,RS_sem,n_seeds
fc3rev_h4,4,weight_decay,0.938230,0.051541,0.023050,5
fc3rev_h4,4,mne_l2,0.978630,0.016603,0.007425,5
fc3rev_h4,4,no_regularization,0.855960,0.062203,0.027818,5
fc3rev_h8,8,weight_decay,0.976370,0.010822,0.004840,5
fc3rev_h8,8,mne_l2,0.995300,0.000946,0.000423,5
fc3rev_h8,8,no_regularization,0.953521,0.014253,0.006374,5
fc3rev_h16,16,weight_decay,0.994425,0.001245,0.000557,5
fc3rev_h16,16,mne_l2,0.997585,0.000555,0.000248,5
fc3rev_h16,16,no_regularization,0.984744,0.002533,0.001133,5
fc3rev_h32,32,weight_decay,0.997740,0.000453,0.000203,5
fc3rev_h32,32,mne_l2,0.998333,0.000379,0.000169,5
fc3rev_h32,32,no_regularization,0.994382,0.001768,0.000791,5
fc3rev_h64,64,weight_decay,0.998403,0.000593,0.000265,5
fc3rev_h64,64,mne_l2,0.998228,0.000268,0.000120,5
fc3rev_h64,64,no_regularization,0.998012,0.000709,0.000317,5
fc3rev_h128,128,weight_decay,0.998396,0.000441,0.000197,5
fc3rev_h128,128,mne_l2,0.999067,0.000287,0.000128,5
fc3rev_h128,128,no_regularization,0.997276,0.001610,0.000720,5
fc3rev_h256,256,weight_decay,0.998526,0.000604,0.000270,5
fc3rev_h256,256,mne_l2,0.998810,0.000500,0.000224,5
fc3rev_h256,256,no_regularization,0.998177,0.000956,0.000428,5
