dataset,arch,variant,variant_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,sigma,acc,checkpoint,matrix_csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,0,56.976000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,0.25,6.822000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,0.5,0.130000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,0.75,0.086000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,1,0.100000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,1.25,0.100000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,1.5,0.102000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,1.75,0.108000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,2,0.100000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
imagenet,resnet18,weight_decay,L2-all (all params),weight_decay,none,0.0001,42,16,0,16,2.25,0.100000,/scratch/gs14/sl9144/snn_ckpts/imagenet-checkpoints/resnet18_L[16]_mneablate_imagenet_weight_decay_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/imagenet_resnet18_five_regs_sigma0_5_seed42/weight_decay/noise_sweep_matrix_imagenet_resnet18_T16_mode_rate_uniform_schedule_normal_seed_42.csv
