dataset,arch,variant,variant_label,regularizer,reg_coeff,hinge_tau,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,weight_decay_weights_only,weight_decay_conv_linear_only,weight_decay_weights_only,none,none,0.0005,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,90.800000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_weight_decay_weights_only_rcnone_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,91.120000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.05,91.160000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.1,91.190000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.15,91.170000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.2,91.190000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.25,91.150000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.3,91.130000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.35,91.160000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.4,91.030000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.45,90.980000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.5,91.160000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.55,91.050000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.6,91.160000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.65,91.050000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.7,91.030000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.75,91.080000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.8,91.000000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.85,91.040000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.9,91.120000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,calibrated_mne_a0p1,l2_calibrated_mne_alpha_0p1,calibrated_mne_l2,0.0005,none,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0.95,91.080000,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_calibrated_mne_a0p1_seed42/cifar10/mneablate_cifar10_calibrated_mne_a0p1_rc0p0005_seed42_L16_trainT0/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
