dataset,arch,method,label,reg_coeff,weight_decay,seed,L,T,if_mode,sigma,acc,checkpoint,matrix_csv
cifar10,vgg16,no_regularization,no regularization,,0.0,42,16,16,rate_uniform,1.0,58.74,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_none_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/no_regularization/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.0,90.5,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.05,90.4,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.1,90.4,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.15,90.32,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.2,90.13,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.25,89.85,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.3,89.45,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.35,89.18,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,vgg16,weight_decay,weight_decay,,0.0005,42,16,16,rate_uniform,0.4,88.62,/scratch/gs14/sl9144/snn_ckpts/cifar10-checkpoints/vgg16_L[16]_strict_seed42_schemeC_noout_wd_l16_vgg16.pth,/home/595/sl9144/codes/snn_simulation/important_results/cifar10_vgg16_mne_l2_noreg_pre_first_conv_seed42/weight_decay/seed_42/noise_sweep_matrix_cifar10_vgg16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
