dataset,model,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,if_mode,spike_schedule,noise_position,noise_type,sigma,acc,checkpoint,matrix_csv
fashion_mnist,cnn2_c8_c16,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.350000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_spectral_norm_rc0p0001_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/spectral_norm/rc0p0001/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c8_c16,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,65.220000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_spectral_norm_rc0p0001_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/spectral_norm/rc0p0001/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c8_c16,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,86.390000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_spectral_norm_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/spectral_norm/rc0p0001/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,52.550000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_spectral_norm_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/spectral_norm/rc0p0001/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c8_c16,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,86.910000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_spectral_norm_rc0p0001_seed43_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/spectral_norm/rc0p0001/seed_43/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fashion_mnist,cnn2_c8_c16,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,62.500000,fashion_mnist-checkpoints/cnn2_c8_c16_L[16]_fashion_spectral_mne_cnn2_c8_c16_spectral_norm_rc0p0001_seed43_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c8_c16/spectral_norm/rc0p0001/seed_43/noise_sweep_matrix_fashion_mnist_cnn2_c8_c16_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fashion_mnist,cnn2_c16_c32,group_lasso,group_lasso_rc1em05,group_lasso,1em05,0.0,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.930000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_group_lasso_rc1em05_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/group_lasso/rc1em05/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c16_c32,group_lasso,group_lasso_rc1em05,group_lasso,1em05,0.0,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,46.210000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_group_lasso_rc1em05_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/group_lasso/rc1em05/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c16_c32,group_lasso,group_lasso_rc1em05,group_lasso,1em05,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.880000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_group_lasso_rc1em05_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/group_lasso/rc1em05/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c16_c32,group_lasso,group_lasso_rc1em05,group_lasso,1em05,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,60.640000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_group_lasso_rc1em05_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/group_lasso/rc1em05/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c16_c32,group_lasso,group_lasso_rc1em05,group_lasso,1em05,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.880000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_group_lasso_rc1em05_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/group_lasso/rc1em05/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c16_c32,group_lasso,group_lasso_rc1em05,group_lasso,1em05,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,59.930000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_group_lasso_rc1em05_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/group_lasso/rc1em05/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c16_c32,group_lasso,group_lasso_rc1em05,group_lasso,1em05,0.0,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,88.690000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_group_lasso_rc1em05_seed43_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/group_lasso/rc1em05/seed_43/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fashion_mnist,cnn2_c16_c32,group_lasso,group_lasso_rc1em05,group_lasso,1em05,0.0,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,42.590000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_group_lasso_rc1em05_seed43_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/group_lasso/rc1em05/seed_43/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fashion_mnist,cnn2_c16_c32,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,87.960000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_spectral_norm_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/spectral_norm/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c16_c32,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,40,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,49.960000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_spectral_norm_rc0p0001_seed40_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/spectral_norm/rc0p0001/seed_40/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_40.csv
fashion_mnist,cnn2_c16_c32,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,88.520000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_spectral_norm_rc0p0001_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/spectral_norm/rc0p0001/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c16_c32,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,41,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,51.940000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_spectral_norm_rc0p0001_seed41_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/spectral_norm/rc0p0001/seed_41/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_41.csv
fashion_mnist,cnn2_c16_c32,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,88.030000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_spectral_norm_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/spectral_norm/rc0p0001/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c16_c32,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,42,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,54.780000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_spectral_norm_rc0p0001_seed42_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/spectral_norm/rc0p0001/seed_42/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_42.csv
fashion_mnist,cnn2_c16_c32,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,0,88.160000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_spectral_norm_rc0p0001_seed43_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/spectral_norm/rc0p0001/seed_43/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
fashion_mnist,cnn2_c16_c32,spectral_norm,spectral_norm_rc0p0001,spectral_norm,0p0001,0.0,43,16,0,16,rate_uniform,normal,post_input_if,gaussian,1,40.950000,fashion_mnist-checkpoints/cnn2_c16_c32_L[16]_fashion_spectral_mne_cnn2_c16_c32_spectral_norm_rc0p0001_seed43_ep30_L16_trainT0.pth,/Users/S4142196/Documents/Phd_Document/codes/QCFS_simulation_FI/important_results/fashion_l2family_extra_c8c16_c16c32_ep30_4seed_mps/cnn2_c16_c32/spectral_norm/rc0p0001/seed_43/noise_sweep_matrix_fashion_mnist_cnn2_c16_c32_T16_mode_rate_uniform_schedule_normal_seed_43.csv
