dataset,arch,method,method_label,regularizer,reg_coeff,weight_decay,seed,L,train_T,test_T,noise_position,sigma,acc,checkpoint,matrix_csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0,35.030000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.1,35.080000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.2,34.960000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.3,34.860000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.4,35.020000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.5,35.120000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.6,34.670000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.7,34.820000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.8,34.640000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,0.9,34.900000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
cifar10,fc5_cifar,old_detach,MNE-standard,mne_l2,3e-06,0,42,16,0,16,post_input_if,1,34.460000,/home/595/sl9144/codes/snn_simulation/QCFS_simulation/cifar10-checkpoints/fc5_cifar_L[16]_cifar10_fc5_cifar_old_detach_rc3em06_seed42_L16_trainT0.pth,../important_results/cifar10_mlp_fc5_mne_rc_scan_seed42/rc_3e-6/cifar10/fc5_cifar/old_detach/seed_42/noise_sweep_matrix_cifar10_fc5_cifar_T16_mode_rate_uniform_schedule_normal_seed_42.csv
